ID,Roots,Glosses,Occurrences,Comments,LN Base,LN Sense,LN Gloss,LN Definition,LN Note,LN Tag,Categories,Examples,Exhaustive Examples,Level,Expansion Rule,Expansion Rule Status,Generic Thing-Thing Relationships,ParentID,Brief Gloss,Linguists Assistant
679819,sinner,,1,,,0,complex - a person who routinely lives badly,,,,o,,4|42|24|7|killA|A,2,,0,,62,,0
679821,Sirah,,1,,,0,the name of a place,,,,,,4|10|3|26|beF|S,4,,0,,,,0
679823,sister,,18,,,0,older female sibling,,,,o,,6|5|1|9||X4|1|30|1||X4|1|30|8|struggleA|P4|1|30|8|defeatB|P4|1|36|3|beL|S4|1|36|22|beM|S4|2|2|4|watchB|A4|2|2|4|seeA|A4|2|2|7|goA|A4|2|2|7|sayA|A4|2|2|7|searchA|A4|2|2|8|goA|A4|2|2|8|findA|A4|2|2|8|goA|A4|2|2|8|bringB|A4|2|6|23|beM|S4|2|15|20|beL|A4|10|17|25|beM|S,1,,0,,45,,1
679826,sister,,18,,,0,"complex - title used for addressing women (My brothers and sisters, ...); paired with 'friend'",,,,o,,4|40|5|22||X4|40|5|22|sayA|d4|40|5|22|sayA|N4|40|5|23|beD|A4|40|5|47|greetA|P4|40|5|47|greetA|P4|44|1|16|sayC|D4|50|1|12|wantA|D4|50|1|14|becomeA|A4|50|1|14|tell/AproclaimD|A4|50|1|14|beD|A4|50|3|1|rejoiceA|D4|50|3|13|thinkC|D4|50|3|17|joinA|D4|50|4|1|beD|D4|50|4|8|thinkA|D4|50|4|21|greetA|A4|50|4|21|beI|A,2,,0,,123,,0
679828,Sitnah,,2,,,0,the name of a well in Gen 26,,,,G,,4|1|26|21|nameA|S4|1|26|21|meanD|A,4,,0,,76,,0
679829,Sivan,,1,,,0,the name of a month in Esther 8:9,,,,T,,4|17|8|9|beK|S,4,,0,,,,0
679831,skill,,2,,,0,ability,,,,o,,4|27|1|17|giveC|P4|27|6|3|haveD|S,1,,0,,134,,1
679833,skull,,2,,,0,the bones of a person's or animal's head,,,,o,,4|7|9|53|breakA|P4|42|23|33|callB|S,2,,0,,63,,0
679835,sky,,29,,,0,place where stars are,,,,o,,4|1|1|1|createA|P4|1|1|1|createA|P4|1|1|14|beE|N4|1|1|15|beF|S4|1|1|17|putA|d4|1|2|1|createA|P4|1|2|1|beF|S4|1|2|4|beF|S4|1|2|4|makeA|P4|1|14|19|createA|P4|1|14|22|createA|P4|1|15|5|lookA|P4|1|26|4|beE|N4|1|26|4|beF|S4|2|20|11|createA|P4|6|2|11|beF|S4|7|5|20|beF|S4|7|5|20|travelA|N4|10|22|8|shakeA|A4|10|22|8|shakeA|A4|27|8|10|beF|S4|27|8|10|beF|S4|27|12|3|beF|S4|41|13|25|fallA|s4|41|13|25|beF|S4|41|13|31|endA|A4|42|21|26|happenA|N4|42|21|33|existA|A4|50|2|15|shineA|N,1,,0,,80,outer space,1
679838,smoke,,15,,,0,smoke,,,,o,,4|1|15|17|riseA|A4|1|19|28|riseA|A4|1|19|28|riseA|A4|2|19|18|coverC|A4|2|19|18|riseA|A4|2|19|18|riseA|A4|2|20|18|seeA|P4|2|20|18|coverC|A4|6|8|20|riseA|A4|6|8|21|riseA|A4|7|20|38|riseA|A4|7|20|39|seeA|P4|7|20|39|riseA|A4|7|20|40|riseA|A4|10|22|9|riseA|A,1,,0,,130,,1
679840,snow,,2,,,0,snow that falls from the sky - used in similes to indicate 'white',,,,o,,4|10|23|20|beO|S4|27|7|9|beD|A,1,,0,,109,,1
679842,Socoh,,0,,,0,the name of a town in Joshua 15:35,,,,,,,4,,0,,,,0
679844,soil,,13,,,0,dirt that plants grow in,,,,o,,4|1|3|23|workA|N4|1|27|28|giveA|P4|41|2|4|makeA|I4|41|4|5|haveI|S4|41|4|5|beD|A4|41|4|8|fallA|d4|41|4|20|beU|S4|41|4|20|scatterA|N4|41|4|28|causeA|A4|42|13|8|putA|d4|42|13|19|throwD|d4|42|13|19|beF|A4|42|14|35|improveA|P,1,,0,,109,,1
679847,Solomon,,13,,,0,son of David,,,,M,,4|10|5|14||X4|10|12|24|nameA|S4|10|12|24|loveA|P4|10|12|25|loveA|P4|16|7|57||X4|16|7|60||X4|40|1|6||X4|40|1|6||X4|40|1|7|beM|A4|42|11|31||X4|42|11|31||X4|42|12|27|beD|A4|42|12|27||X,4,,0,,13,,0
679849,son,,,,,0,complex - define as literal 'son' or dynamic 'child'; used in Proverbs,,,,o,,,2,,0,,,,0
679851,son-in-law,,8,,,0,son in law,,,,o,,4|1|19|12|haveB|S4|7|15|6|beM|S4|9|18|18|becomeB|S4|9|18|22|becomeB|S4|9|18|23|becomeB|S4|9|18|26|becomeB|S4|9|18|27|becomeB|S4|9|22|14|beM|S,2,,0,,45,,1
679854,Son-of-Man,,142,,,0,"a title of Christ, also used in the OT, emphasizes his humanity",,,,g,,4|41|2|10|haveD|A4|41|2|10|forgiveB|A4|41|2|28|beB|A4|41|2|28|haveD|A4|41|2|28|chooseA|A4|41|8|31|happenA|d4|41|8|31|sufferA|A4|41|8|31|acceptB|P4|41|8|31|killA|P4|41|8|31|becomeA|A4|41|8|38|beD|A4|41|8|38|beD|A4|41|8|38|returnA|A4|41|8|38||X4|41|8|38|returnA|A4|41|8|38||X4|41|9|9|becomeA|A4|41|9|10|becomeA|A4|41|9|12|sufferA|A4|41|9|12|treatA|P4|41|9|12|sufferA|A4|41|9|12|treatA|P4|41|9|31|giveA|P4|41|9|31||X4|41|9|31||X4|41|9|31|killA|P4|41|9|31|killA|P4|41|9|31|becomeA|A4|41|10|33|giveB|P4|41|10|33|judge/AcondemnA|P4|41|10|33|dieA|A4|41|10|33|giveB|P4|41|10|34|laugh/AmockB|P4|41|10|34|spitA|P4|41|10|34|whipA|P4|41|10|34|killA|P4|41|10|34|becomeA|A4|41|10|45|comeA|A4|41|10|45|serveA|P4|41|10|45|comeA|A4|41|10|45|serveA|A4|41|10|45|letA|A4|41|10|45|killA|P4|41|10|45|saveA|A4|41|10|45|dieA|A4|41|13|26|comeA|A4|41|13|26|comeA|A4|41|13|26|beD|A4|41|13|27|sendA|A4|41|13|27|sendA|A4|41|13|29|returnB|A4|41|13|29|beF|A4|41|13|29|beD|A4|41|13|29|comeA|A4|41|13|29|beU|A4|41|13|32|returnB|A4|41|13|32|returnB|A4|41|13|32|returnB|A4|41|13|33|returnB|A4|41|13|33|returnB|A4|41|13|34|beU|A4|41|14|21|dieA|A4|41|14|21|dieA|A4|41|14|21|giveB|P4|41|14|21||X4|41|14|41|give/AbetrayB|P4|41|14|62|sitA|A4|41|14|62|comeA|A4|42|5|24|haveD|A4|42|5|24|forgiveB|A4|42|6|5|ruleA|A4|42|6|22|followB|P4|42|6|22|followB|P4|42|6|22|followB|P4|42|7|34|beF|A4|42|7|34|eatA|A4|42|7|34|drinkA|A4|42|7|34|lookA|P4|42|7|34|eatA|A4|42|7|34|drinkA|A4|42|7|34|beD|A4|42|7|34|beD|A4|42|9|22|hurtA|P4|42|9|22|believeA|P4|42|9|22|killA|P4|42|9|22|liveB|A4|42|9|26||X4|42|9|26|beD|A4|42|9|26|sayB|A4|42|9|26|beD|A4|42|9|26|returnB|A4|42|9|26|beD|A4|42|9|44|giveB|P4|42|9|44||X4|42|9|58|haveA|A4|42|9|58|liveA|A4|42|11|30|becomeB|A4|42|12|8|tellA|A4|42|12|8||X4|42|12|10|sayB|N4|42|12|40|comeA|A4|42|12|40|comeA|A4|42|17|22|beI|S4|42|17|22|seeA|P4|42|17|23|beF|A4|42|17|23|beF|A4|42|17|24|seeA|P4|42|17|24|comeA|A4|42|17|25|comeA|A4|42|17|25|sufferA|A4|42|17|25|acceptB|P4|42|17|26|comeA|A4|42|17|28|comeA|A4|42|17|30|returnA|A4|42|18|8|comeA|A4|42|18|31|happenA|d4|42|18|32|giveB|P4|42|18|32|laughB|P4|42|18|32|insultA|P4|42|18|32|spitA|P4|42|18|33|whipA|P4|42|18|33|killA|P4|42|18|33|becomeA|A4|42|19|10|comeA|A4|42|19|10|searchA|A4|42|19|10|comeA|A4|42|19|10|saveA|A4|42|21|27|comeA|A4|42|21|27|beD|A4|42|21|34|returnA|A4|42|21|36|standA|N4|42|22|22|doA|d4|42|22|22|arrestA|P4|42|22|48||X4|42|22|48||X4|42|22|48|arrestA|P4|42|22|48|kissA|P4|42|22|69|sitA|A4|42|24|7|arrestA|P4|42|24|7|killA|P4|42|24|7|hangC|P4|42|24|7|becomeA|A,4,,0,,ASon,,0
679856,Song-of-Solomon,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
