ID,Mappings,Expansion Rule,Expansion Rule BreakPoint,Collocation Correction Rule,Comment,Comment Fonts,Expansion Rule Status
299,181,,0,,,,11100
300,182,,0,,,,0
301,182,,0,,,,0
302,182,,0,,,,0
303,183,,0,,,,11100
304,184,,0,,,,0
305,185,,0,,,,11100
306,,,0,,,,11100
307,186,,0,,,,11100
308,187,,0,,,,0
309,187,,0,,,,0
310,188,,0,,,,0
311,188,,0,,,,0
312,188,,0,,,,0
313,189,,0,,,,11100
314,190,,0,,,,0
315,191,,0,,,,11100
316,192,,0,,,,0
317,192,,0,,,,0
318,192,,0,,,,0
319,192,,0,,,,0
320,192,,0,,,,
321,193,,0,,,,11100
322,194,,0,,,,11100
323,195,,0,,,,11100
324,195,,0,,,,11100
325,196,,0,,,,0
326,197,,0,,,,0
327,197,,0,,,,0
328,197,,0,,,,0
329,,,0,,,,
330,198,,0,,,,0
331,200,,0,,,,0
332,200,,0,,,,0
334,,,0,,,,0
335,202,,0,,,,0
336,203,,0,,,,0
337,204,,0,,,,0
340,205,,0,,,,0
341,205,,0,,,,0
342,205,,0,,,,
345,208,,0,,,,0
346,208,,0,,,,0
347,208,,0,,,,0
348,209,,0,,,,0
349,209,,0,,,,0
350,209,,0,,,,0
351,209,,0,,,,0
352,210,,0,,,,11100
353,"411,211",,0,,,,0
354,212,,0,|||||death-A||||||516|||||thing-A||||||516|||||thing-B||||||516|||||thing-D||||||516|||||sin-A||||||516|||slave-A||||||||516,  ,,0
355,213,,0,,,,11100
356,214,,0,,,,11100
357,215,,0,,,,0
358,216,,0,,,,0
359,216,,0,,,,0
360,216,,0,,,,0
361,217,,0,,,,0
362,,,0,,,,
363,218,,0,,,,0
364,220,,0,,,,0
365,219,,0,,,,11000
366,221,,0,|||sacrifice-A||||||||575,  ,,0
367,221,,0,,,,0
368,221,,0,,,,0
369,445,,0,,,,11100
370,222,,0,,,,11100
371,223,,0,,,,11100
372,,,0,,,,11100
373,224,,0,,,,11100
374,225,,0,,,,0
375,225,,0,,,,0
376,226,,0,,,,0
377,227,,0,,,,0
378,228,,0,,,,0
379,445,,0,,,,0
380,230,,0,,,,0
381,231,,0,,,,11100
382,232,,0,,,,0
383,233,,0,,,,0
384,234,,0,,,,0
385,233,,0,,,,0
386,233,,0,,,,0
387,233,,0,,,,0
388,233,,0,,,,0
389,235,,0,,,,0
390,235,,0,,,,0
391,236,,0,,,,11100
392,237,,0,,,,0
393,237,,0,,,,11100
394,237,,0,,,,0
395,238,,0,,,,0
396,,,0,,,,
397,239,,0,,,,11100
398,240,,0,,,,0
399,241,,0,,,,0
400,241,,0,,,,0
401,241,,0,,,,0
402,241,,0,,,,0
403,241,,0,,,,0
404,241,,0,,,,0
405,241,,0,,,,0
406,241,,0,,,,0
407,241,,0,,,,0
408,241,,0,,,,0
409,242,,0,,,,11100
410,242,,0,,,,0
411,243,,0,,,,0
413,243,,0,,,,0
415,244,,0,,,,0
416,244,,0,,,,0
417,245,,0,,,,0
418,245,,0,,,,0
419,245,,0,,,,0
420,247,,0,,,,0
421,247,,0,,,,0
422,247,,0,,,,0
424,248,,0,,,,0
425,248,,0,,,,0
426,248,,0,,,,0
428,249,,0,,,,11000
429,250,,0,,,,0
430,250,,0,,,,0
431,251,,0,,,,11100
432,252,,0,,,,11100
433,253,,0,,,,0
434,254,,0,,,,0
436,40,,0,,,,
438,256,,0,,,,0
439,257,,0,,,,0
440,258,,0,,,,0
441,259,,0,,,,0
444,262,,0,,,,11100
445,263,,0,,,,0
446,264,,0,,,,0
447,265,,0,,,,11100
448,266,,0,,,,0
449,266,,0,,,,0
450,267,,0,,,,0
451,267,,0,,,,0
452,268,,0,,,,0
453,269,,0,,,,0
454,269,,0,,,,0
455,,,0,,,,
456,270,,0,,,,0
457,271,,0,,,,0
458,271,,0,,,,0
459,271,,0,,,,0
460,272,,0,,,,11100
461,273,,0,||bull-A|||||||||574,  ,,0
462,274,,0,,,,0
463,275,,0,,,,0
464,276,,0,,,,0
465,277,,0,,,,0
466,,,0,,,,
467,278,,0,,,,
468,279,,0,,,,0
469,279,,0,,,,0
470,279,,0,,,,0
471,279,,0,,,,0
472,279,,0,,,,0
473,279,,0,,,,
474,280,,0,,,,11100
475,281,,0,,,,0
476,281,,0,,,,0
477,282,,0,,,,0
478,282,,0,,,,0
479,282,,0,,,,0
480,282,,0,,,,
481,,,0,,,,
482,283,,0,,,,0
483,285,,0,,,,0
484,285,,0,,,,0
486,285,,0,,,,0
487,286,,0,,,,0
489,286,,0,,,,0
491,288,,0,,,,0
492,289,,0,,,,11100
493,290,,0,,,,11100
494,291,,0,,,,0
495,292,,0,,,,0
496,292,,0,,,,0
497,293,,0,,,,0
498,294,,0,,,,0
499,295,,0,,,,0
500,295,,0,,,,0
501,295,,0,,,,0
502,296,,0,,,,11100
503,297,,0,,,,0
504,297,,0,,,,0
505,298,,0,,,,0
506,298,,0,,,,0
507,298,,0,,,,0
508,299,,0,,,,11100
509,300,,0,|||scroll-A||||||||629,  ,,0
510,36,,0,,,,0
511,301,,0,,,,11100
512,302,,0,,,,0
513,302,,0,,,,0
514,,,0,,,,
515,304,,0,,,,0
516,304,,0,,,,0
517,304,,0,,,,0
518,305,,0,,,,0
519,305,,0,,,,0
520,305,,0,,,,0
521,307,,0,,,,0
522,308,,0,,,,0
523,308,,0,,,,0
525,308,,0,,,,0
526,308,,0,,,,0
527,308,,0,,,,
528,309,,0,,,,11100
529,310,,0,,,,0
531,312,,0,,,,0
532,313,,0,,,,0
533,37,,0,,,,0
534,315,,0,,,,0
535,315,,0,,,,0
536,315,,0,,,,0
537,315,,0,,,,0
538,315,,0,,,,
540,317,,0,,,,11100
542,318,,0,,,,0
543,318,,0,,,,0
544,318,,0,,,,0
545,319,,0,,,,0
546,320,,0,,,,11100
547,321,,0,,,,0
548,322,,0,,,,0
549,322,,0,,,,0
551,325,,0,,,,11100
552,325,,0,,,,11100
553,326,,0,,,,0
555,326,,0,|||face-A|||ground-A|||||66||heart-A|||||||||250,  ,,0
556,326,,0,,,,0
557,327,,0,,,,0
558,328,,0,,,,11100
559,329,,0,,,,0
560,330,,0,,,,0
561,331,,0,,,,0
562,331,,0,,,,0
563,331,,0,,,,0
564,332,,0,,,,0
565,333,,0,,,,11100
566,334,,0,,,,11100
567,334,,0,,,,11100
568,335,,0,,,,11100
569,336,,0,,,,0
570,337,,0,,,,
571,338,,0,,,,0
572,338,,0,,,,0
573,338,,0,,,,0
574,338,,0,,,,0
575,338,,0,,,,0
576,339,,0,,,,11000
577,340,,0,,,,0
578,341,,0,,,,11100
579,343,,0,,,,11100
580,344,,0,,,,0
581,345,,0,,,,0
582,346,,0,,,,0
583,346,,0,,,,
584,347,,0,,,,0
585,347,,0,,,,0
586,347,,0,,,,0
587,347,,0,,,,
588,349,,0,,,,11100
589,350,,0,,,,0
590,350,,0,,,,0
591,352,,0,,,,0
592,351,,0,,,,0
593,196,,0,,,,0
594,353,,0,,,,0
595,353,,0,,,,0
596,353,,0,,,,0
597,354,,0,,,,0
598,355,,0,,,,0
599,355,,0,|||trumpet-A||||||||218,  ,,0
600,356,,0,|||trumpet-A||||||||218,  ,,11100
601,357,,0,,,,0
602,357,,0,,,,0
604,358,,0,,,,11100
605,359,,0,,,,11100
607,360,,0,,,,0
608,360,,0,,,,0
609,362,,0,,,,0
610,363,,0,,,,0
611,363,,0,,,,
612,365,,0,,,,0
613,366,,0,,,,0
614,366,,0,,,,0
616,366,,0,,,,
617,366,,0,,,,
618,367,,0,,,,11100
619,367,,0,,,,11100
620,367,,0,,,,11100
621,368,,0,,,,11100
622,369,,0,,,,0
623,369,,0,,,,0
624,369,,0,,,,0
625,370,,0,,,,0
626,,,0,,,,
627,371,,0,,,,0
628,372,,0,,,,0
629,373,,0,,,,11100
630,373,,0,,,,11100
631,374,,0,,,,0
633,376,,0,,,,0
634,376,,0,,,,0
636,377,,0,,,,0
637,377,,0,,,,0
639,379,,0,,,,
640,380,,0,,,,0
642,380,,0,,,,0
643,381,,0,,,,0
644,383,,0,,,,0
645,384,,0,,,,0
646,,,0,,,,0
647,385,,0,,,,11100
648,386,,0,,,,0
649,387,,0,,,,0
650,388,,0,,,,0
651,,,0,,,,0
652,389,,0,,,,
653,390,,0,,,,0
654,391,,0,,,,0
655,392,,0,,,,11100
656,394,,0,,,,0
657,394,,0,,,,11100
659,396,,0,,,,
660,397,,0,,,,0
661,397,,0,,,,0
662,397,,0,,,,0
663,398,,0,,,,0
665,400,,0,,,,11100
666,401,,0,,,,11100
667,402,,0,,,,0
668,402,,0,,,,0
669,403,,0,,,,11100
670,404,,0,,,,0
671,405,,0,,,,11100
672,406,,0,,,,0
673,407,,0,,,,11100
674,408,,0,,,,11100
675,409,,0,,,,11100
676,410,,0,,,,11100
677,411,,0,,,,11100
679,412,,0,,,,0
680,412,,0,,,,0
681,412,,0,,,,0
682,412,,0,,,,
683,413,,0,,,,0
684,413,,0,,,,0
685,413,,0,,,,0
686,414,,0,,,,0
687,414,,0,,,,0
689,416,,0,,,,
690,417,,0,,,,11100
691,418,,0,,,,0
693,,,0,,,,11100
694,420,,0,,,,11100
695,421,,0,,,,0
696,422,,0,,,,0
697,423,,0,,,,11100
698,424,,0,,,,11100
699,425,,0,,,,0
700,425,,0,,,,0
701,,,0,,,,0
703,425,,0,,,,0
704,426,,0,,,,11100
705,427,,0,,,,11100
706,428,,0,,,,0
707,429,,0,,,,0
708,429,,0,,,,0
709,431,,0,,,,11100
710,432,,0,,,,
711,432,,0,,,,
712,434,,0,,,,11100
714,435,,0,,,,
715,436,,0,,,,0
716,437,,0,,,,0
717,439,,0,,,,0
718,439,,0,,,,0
719,439,,0,,,,0
720,439,,0,,,,0
721,440,,0,,,,0
722,441,,0,,,,0
723,438,,0,,,,0
724,,,0,,,,0
725,442,,0,,,,11100
726,443,,0,,,,0
727,444,,0,||Abram-A|woman-A||king-A||||||529||Abram-A|Lot-A||||||||529,  ,,0
728,444,,0,||Abram-A|Lot-A||||||||529||Abram-A|woman-A||||||||529,  ,,0
729,444,,0,,,,11100
730,445,,0,,,,0
731,445,,0,,,,0
732,445,,0,,,,0
733,445,,0,,,,0
734,445,,0,,,,0
735,445,,0,,,,0
736,446,,0,,,,
737,447,,0,,,,0
1481,,,,,,,
1482,,,,,,,
1483,,,,,,,
1484,,,,,,,
1485,,,,,,,
1486,,,,,,,
1487,,,,,,,
1488,,,,,,,
1489,,,,,,,
1490,,,,,,,
1491,,,,,,,
1492,,,,,,,
1493,,,,,,,
1494,,,,,,,
1495,,,,,,,
1496,,,,,,,
1497,,,,,,,
1498,,,,,,,
1499,,,,,,,
1500,,,,,,,
1501,,,,,,,
1502,,,,,,,
1503,,,,,,,
1504,,,,,,,
1505,,,,,,,
1507,,,,,,,
1508,,,,,,,
1509,,,,,,,
1510,,,,,,,
1511,,,,,,,
1512,,,,,,,
1513,,,,,,,
1515,,,,,,,
1516,,,,,,,
1517,,,,,,,
1518,,,,,,,
1519,,,,,,,
1520,,,,,,,
1521,,,,,,,
1523,,,,,,,
1524,,,,,,,
1525,,,,,,,
1526,,,,,,,
1527,,,,,,,
1528,,,,,,,
1529,,,,,,,
1531,,,,,,,
1532,,,,,,,
1533,,,,,,,
1534,,,,,,,
1535,,,,,,,
1536,,,,,,,
1537,,,,,,,
1539,,,,,,,
1540,,,,,,,
1541,,,,,,,
1542,,,,,,,
1543,,,,,,,
1544,,,,,,,
1545,,,,,,,
1547,,,,,,,
1548,,,,,,,
1549,,,,,,,
1550,,,,,,,
1551,,,,,,,
1552,,,,,,,
1553,,,,,,,
1555,,,,,,,
1556,,,,,,,
1557,,,,,,,
1558,,,,,,,
1559,,,,,,,
1560,,,,,,,
