ID,SyntacticCategory,GroupName,RulesName,Status,Comment,SourceSyntacticCategory,SourceFeature,Structure,NewName,CommentFonts,NameFonts,References,Source,Destination,ColumnWidth,DefaultValue,DefaultCharacters,GrammarTopics,TypeOfRule,OutputStructures
1,2,Subject Agreement,  Copy Subject Person and Number from nouns to verbs,1,  Gen. 40:17  There were many kinds of bread in those baskets.,1,Number^Person^,"2**5**{~|c-~|(~|n-,,,,,,,,,,,,S,~|-10----~|N-~|)~|~|-1(~|v-~|-10----~|V-~|)~|~|-1}~|~|>|<3**8**{~|c-~|(~|n-,,,,,,,,,,,,S,~|-1(~|n-,,~|-10----~|N-~|26)~|~|-10----~|N-~|)~|~|-1(~|v-~|-10----~|V-~|)~|~|-1}~|~|>|<",Number of Subject^Person of Subject^,"15,62",,"6,9,1,1^6,9,1,2^6,9,1,3^6,9,1,4^6,9,1,5^6,9,1,6^6,9,1,7^6,9,1,8^6,9,1,9^6,9,1,10^6,9,1,11^4,1,1,1^4,1,1,2^4,1,1,3^4,1,1,4^4,1,1,5^4,1,1,6^4,1,1,7^4,1,1,8^4,1,1,9^4,1,1,10^4,1,1,11^4,1,1,12^4,1,1,13^4,1,1,14^4,1,1,15^4,1,1,16^",0,0,119^114^,Source Unavailable^Source Unavailable^,--,31,0,
4,2,Subject Agreement,"  When Subject is 'one/each of us/you/them', set Person to Third",1,"  Genesis 42:16, 19  One of you has to ...  By setting the Person of Subject value to Third, the spellout rule that inserts has to will be properly triggered.  Exodus 22:9  One of those men owns that thing.  Bible Stories 72:7  Each of us has traveled ...",0,,"{~|c-~|(~|n-,,,,,,,,,,,,S,~|-1(~|j-,~|-10----~|A-~|12,26)~|~|-10----~|N-P,,,,,,,,,,,,,,,,,,,,~|)~|~|-1(~|v-~|-10----~|V-,,,,,,,,,,,,,,,,,,,~|)~|~|-1}~|~|>|<",,"22,42,125,130,173,206,228,255",,,0,0,,,,,1,"{~|c-~|(~|n-,,,,,,,,,,,,S,~|-1(~|j-,~|-10----~|A-~|12)~|~|-10----~|N-P,,,,,,,,,,,,,,,,,,,,~|)~|~|-1(~|v-~|-10----~|V-,,,,,,,,,,,,,,,,,S,3,~|)~|~|-1}~|~|>|<"
5,2,Subject Agreement,"  If Coordinate Subject NPs are joined with or, set Person of Subject to Singular",1,  Luke 14:5  If your son or your ox falls ...,0,,"{~|c-~|(~|n-F,,,,,,,,,,,,S,~|-10----~|N-S,,,,,,,,,,,,,,,,,,,,~|)~|~|-1(~|n-L,,,,,,,,,,,,S,~|-10----~|C-~|30----~|N-S,,,,,,,,,,,,,,,,,,,,~|)~|~|-1(~|v-~|-10----~|V-~|)~|~|-1}~|~|>|<",,"14,45","45,46","4,2,19,13^4,2,21,23^4,2,21,33^4,2,22,23^4,2,23,4^4,6,20,9^4,42,14,5^4,56,3,12^",0,0,,,,,1,"{~|c-~|(~|n-F,,,,,,,,,,,,S,~|-10----~|N-S,,,,,,,,,,,,,,,,,,,,~|)~|~|-1(~|n-L,,,,,,,,,,,,S,~|-10----~|C-~|30----~|N-S,,,,,,,,,,,,,,,,,,,,~|)~|~|-1(~|v-~|-10----~|V-,,,,,,,,,,,,,,,,,S,,~|)~|~|-1}~|~|>|<"
6,2,Subject Agreement,"  For 'may' constructions (May God bless you.), there's no Subject Agreement",1,  Ruth 2:4  May God bless you.,0,,{~|c-~|(~|v-~|-10----~|CP-VP~!~may~|-40----~|V-~|)~|~|-1}~|~|>|<,,"12,30",,,0,0,,,,,1,"{~|c-~|(~|v-~|-10----~|CP-VP~!~may~|-40----~|V-,,,,,,,,,,,,,,,,,P,,~|)~|~|-1}~|~|>|<"
