ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics
2,1,Descriptive Relative Clauses,  Move Nouns and Adpositions from NP-Rel in Descriptive Relative Clauses to CP-Spec ,1,"  Clauses 1:36 John, whom Mary saw, read a book.  Copy the Grammatical Relation from the original NP so that we can correctly generate who or whom.  Delete the article so that it won't be stranded in an empty NP.  There may be a modifying NP as in Gen. 48:5  I declare that your two sons, who (your) (two) ...  The Lexical Adjective constituent is necessary in Gen. 14:19 I pray that the highest God, who created the heavens and the earth, ...-*-","16,48,136,138,143,146,260,309,373,443-*-","{~|c-t,,,,,,,,,,,,,,,,,,,,,,,(~|n-,,,,Y,,,,,,,,,&0----~|P-~|&0----~|&Pre-Nominal~!~~|-4&0----~|&Article~!~~|-4&0----~|&Lexical Adjective~!~~|-4&0----~|&First Word of Compound Noun~!~~|-40----~|N-,,,,,,D,,,,,,,,,,,,,~|&(~|n-&)~|&(~|j-&)~|)~|}~|-*-","{~|c-t,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,,,,,,,,,C,.,^1|Grammatical Relation,~|-1~|1)~|^~|-1~|1(~|n-,,,,Y,,,,,,,,,^~|-1~|0&Move1!0----~|P-^~|~|0&0----~|Pre-Nominal~!~^~|Delete~|0&0----~|Article~!~^~|Delete~|0&0----~|Lexical Adjective~!~^~|Delete~|0&0----~|First Word of Compound Noun~!~^~|Delete~|0Move1!0----~|N-,,,,,,D,,,,,,,,,,,,,^~|~|0&(~|n-^~|Delete~|0&)~|^~|Delete~|0&(~|j-^~|Delete~|0&)~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,"4,1,3,6^4,1,4,25^4,1,7,8^4,1,9,22^4,1,9,23^4,1,9,26^4,1,10,12^4,1,11,29^4,1,11,31^4,1,14,2^4,1,14,5^4,1,14,6^4,1,14,7^4,1,14,9^4,1,14,12^4,1,14,19^4,1,14,22^4,1,15,2^4,1,15,7^4,1,15,16^4,1,16,13^4,1,17,17^4,1,18,1^4,1,19,37^|",0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,20
7,102,Adpositions in VPs,  Move Adpositions from the VP to Object NP,1,"  Luke 3:5  Take the mountains and hills away.  Don't move the Adposition if there's a relative clause in the Object NP.  Luke 3:9  God will cut down each tree that does not produce good fruit.  -*-  Don't move the Adposition if there's a Relative Clause in one of the object NPs.  Gen. 30:35 But that day Laban took away all of the male goats that had black marks, ...-*-  Don't move the Adposition if there's a Relative Clause in an NP that's in the object NP.  Mark 11:15 Jesus knocked over the tables of the people who were trading money.-*-  Don't move the Adposition if there's a named NP in the object NP.  Gen. 20:18  Abimelech took away Abraham's wife named Sarah.  This structure prevents the preceding structure from applying.-*-  Theta Grids 1:93  John jumped from a tree down to the ground.-*-  Daniel 4:15  Do not pull the roots of the tree out of the ground.-*-","13,46,133,193-*-96,171-*-104,170-*-42,47,82,130-*-21,63-*-16,67-*-","{~|c-(~|v-0----~|&Verbal Adposition moved to Direct Object~!~~|-4)~|(~|n-SL,,,,,,,,,,,,O,*[~|c-*]~|)~|}~|-*-{~|c-(~|v-0----~|&Verbal Adposition moved to Direct Object~!~~|-4)~|(~|n-FLC,,,,,,,,,,,,O,[~|c-]~|)~|}~|-*-{~|c-(~|v-0----~|&Verbal Adposition moved to Direct Object~!~~|-4)~|(~|n-,,,,,,,,,,,,O,(~|n-[~|c-]~|)~|)~|}~|-*-{~|c-(~|v-0----~|&Verbal Adposition moved to Direct Object~!~~|-4)~|(~|n-SL,,,,,,,,,,,,O,(~|n-0----~|P-~|7)~|)~|}~|-*-{~|c-(~|v-0----~|V-~|4000----~|&Adposition in VP~!~~|-4)~|(~|n-SF,d,,,,,,,,,,o,Q,)~|}~|-*-{~|c-(~|v-0----~|V-~|3230----~|&Adposition in VP~!~~|-4)~|(~|n-SF,s,,,,,,,,,,O,Q,)~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Move4!0----~|&Verbal Adposition moved to Direct Object^~|~|0)~|^~|-1~|0(~|n-SL,,,,,,,,,,,,O,^~|-1~|0*[~|c-^~|-1~|0*]~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|00----~|&Verbal Adposition moved to Direct Object^~|~|0)~|^~|-1~|0(~|n-FLC,,,,,,,,,,,,O,^~|-1~|0[~|c-^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|00----~|&Verbal Adposition moved to Direct Object^~|~|0)~|^~|-1~|0(~|n-,,,,,,,,,,,,O,^~|-1~|0(~|n-^~|-1~|0[~|c-^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|00----~|&Verbal Adposition moved to Direct Object^~|~|0)~|^~|-1~|0(~|n-SL,,,,,,,,,,,,O,^~|-1~|0(~|n-^~|-1~|00----~|P-^~|7~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|00----~|V-^~|400~|0Move5!0----~|&Adposition in VP^~|~|0)~|^~|-1~|0(~|n-SF,d,,,,,,,,,,o,Q,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|00----~|V-^~|323~|0Move5!0----~|&Adposition in VP^~|~|0)~|^~|-1~|0(~|n-SF,s,,,,,,,,,,O,Q,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,-*--*--*--*--*--*-,&Verbal Adposition moved to Direct Object~!~102~!~&Verbal Adposition moved to Direct Object~!~102~!~&Verbal Adposition moved to Direct Object~!~102~!~&Verbal Adposition moved to Direct Object~!~102~!~&Adposition in VP~!~102~!~&Adposition in VP~!~102~!~,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
10,1,Interrogatives,  Move all Relative Pronouns to CP-Spec,1,"  Clauses 1:36 John, whom Mary saw, read a book.  I moved the entire NP to preserve its Grammatical Relation for the Pronoun Spellout Rules.-*-","16,48-*-","{~|c-(~|n-0----~|N-,,,,,,D,,,,,,,,,,,,,,~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-S,N,N,N,N,,,,,,N,C,N,^~|-1~|1)~|^~|-1~|1Move1!(~|n-^~|-1~|00----~|N-,,,,,,D,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,"4,1,3,6^4,1,4,25^4,1,7,8^4,1,9,22^4,1,9,23^4,1,9,26^4,1,10,12^4,1,11,29^4,1,11,31^4,1,14,2^4,1,14,5^4,1,14,6^4,1,14,7^4,1,14,9^4,1,14,12^4,1,14,19^4,1,14,22^4,1,15,2^4,1,15,7^4,1,15,16^4,1,16,13^4,1,17,17^4,1,18,1^4,1,19,37^|",0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
11,105,Interrogatives,"  Move all Interrogative nouns to CP-Spec, and all CP-VPs to CP-VP",1,"  This structure moves all NPs containing an interrogative nominal to a new NP called CP-Spec.  Clauses 1:92 What did John read?-*-  Joshua 9:8 Where did you come from?-*-  Mark 9:16  What are you arguing about?-*-  Mark 6:24  What should I ask Herod for?-*-  This structure moves all Content Question Adverbs to a new VP labeled CP.  The CP-VP constituents are inserted by the Phrase Builder Spellout rule for verbs.  Clauses 1:93 When did John read that book?  I turned this structure off because I now think that the question adverbs should be moved into CP-Spec rather than CP.  So now the following structure moves question adverbs into CP-Spec.-*-  This structure moves all Content Question AdvPs to a new NP labeled CP-Spec.    Luke 20:24  Whose picture is on this coin?  And whose name is on this coin?-*-  This structure moves all Content Question NPs and their nouns to a new NP labeled NP-Spec.    Luke 20:24  Whose picture is on this coin?  And whose name is on this coin?-*-  This structure moves all Content Question Adjectives and their nouns to a new NP labeled NP=Spec.  Gen. 29:15 How much money should I pay you?    Luke 16:5  How many goods do you owe to my master?-*-  This structure moves all Content Question Adjectives and their nouns to a new NP labeled NP=Spec.  Mark 8:5 How many loaves of bread do you have?-*-  Mark 8:37 What is a person able to give so that he could buy his soul?-*-  This structure moves all NPs containing an interrogative nominal in an object complement clause to a new NP called CP-Spec.  Clauses 1:99 Which book did Mary want John to read?  Don't move the interrogative noun if it's embedded in a direct quote.  Discourse 1:6 David asked the soldiers, ""What will the king give ...?""-*-  This structure moves all AdvPs containing an interrogative adverb in an object complement clause to a new NP called CP-Spec.    Luke 22:9  Where do you want us to prepare this meal?-*-  This structure moves all CP-VP constituents to a new VP labeled CP.  The CP-VP constituents are inserted by the Phrase Builder Spellout rule for verbs.  Clauses 1:92 What did John read?-*-","110,128-*-14,37-*-13,40-*-13,41-*-175,203-*-94,157-*-108,171-*-113,144,159,198-*-111,147-*-13,72-*-141,178,266,321-*-141,183-*-169,187-*-","{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-0----~|N-,Q,,,,,,,,,,,,,,,,,,,~|)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-0----~|P-~|90----~|N-,Q,,,,,,,,,,,,,,,,,,,~|32)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-0----~|P-~|50----~|N-,Q,,,,,,,,,,,,,,,,,,,~|58)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-0----~|P-~|110----~|N-,Q,,,,,,,,,,,,,,,,,,,~|58)~|}~|-*-{~|c-,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|d-0----~|a-,,,,,,c,,~|)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|d-0----~|a-,,,,,,c,,~|)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-(~|n-0----~|N-,Q,,,,,,,,,,,,,,,,,,,~|)~|)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-(~|j-0----~|A-,,,,,,q,,~|)~|)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-(~|n-(~|j-0----~|A-,,,,,,q,,~|)~|)~|)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|j-,P,,,,,,[~|c-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-0----~|N-,Q,,,,,,,,,,,,,,,,,,,~|)~|]~|)~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0----~|r-~|1(~|n-0----~|N-,Q,,,,,,,,,,,,,,,,,,,~|)~|]~|}~|-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0----~|r-~|1(~|d-0----~|a-,,,,,,c,,~|)~|]~|}~|-*-{~|c-(~|v-0----~|&CP-VP~!~~|-4)~|}~|-*-","{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,.,N,,,,,,N,C,.,^~|-1~|1)~|^~|-1~|1Move1!(~|n-^~|-1~|00----~|N-,Q,,,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,.,N,,,,,,N,C,.,^~|-1~|1)~|^~|-1~|1(~|n-^~|-1~|00----~|P-^~|9~|0Move1!0----~|N-,Q,,,,,,,,,,,,,,,,,,,^~|32~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,.,N,,,,,,N,C,.,^~|-1~|1)~|^~|-1~|1(~|n-^~|-1~|00----~|P-^~|5~|0Move1!0----~|N-,Q,,,,,,,,,,,,,,,,,,,^~|58~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,.,N,,,,,,N,C,.,^~|-1~|1)~|^~|-1~|1(~|n-^~|-1~|00----~|P-^~|11~|0Move1!0----~|N-,Q,,,,,,,,,,,,,,,,,,,^~|58~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|v-c,,,,,,^~|-1~|1)~|^~|-1~|1Move1!(~|d-^~|-1~|00----~|a-,,,,,,c,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,N,N,,,,,,N,C,N,^~|-1~|1)~|^~|-1~|1Move1!(~|d-^~|-1~|00----~|a-,,,,,,c,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,N,N,,,,,,N,C,N,^~|-1~|1)~|^~|-1~|1Move1!(~|n-^~|-1~|0(~|n-^~|-1~|00----~|N-,Q,,,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,N,N,,,,,,N,C,N,^~|-1~|1)~|^~|-1~|1Move1!(~|n-^~|-1~|0(~|j-^~|-1~|00----~|A-,,,,,,q,,^~|~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,N,N,,,,,,,C,,^~|-1~|1)~|^~|-1~|1Move1!(~|n-^~|-1~|0(~|n-^~|-1~|0(~|j-^~|-1~|00----~|A-,,,,,,q,,^~|~|0)~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,N,N,,,,,,,C,,^~|-1~|1)~|^~|-1~|1(~|j-,P,,,,,,^~|-1~|0[~|c-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0Move1!(~|n-^~|-1~|00----~|N-,Q,,,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,.,N,,,,,,N,C,.,^~|-1~|1)~|^~|-1~|1[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0*0----~|r-^~|1~|0Move1!(~|n-^~|-1~|00----~|N-,Q,,,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-S,N,N,.,N,,,,,,N,C,.,^~|-1~|1)~|^~|-1~|1[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0*0----~|r-^~|1~|0Move1!(~|d-^~|-1~|00----~|a-,,,,,,c,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-c,,,,,,^~|-1~|1)~|^~|-1~|1(~|v-^~|-1~|0Move1!0----~|&CP-VP^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,0-*-0-*-0-*-0-*--*--*-0-*--*--*-0-*-0-*--*--*-,&CP-VP~!~102~!~,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
12,2,Existentials,  Existentials,1,  Clauses 1:4 There is a rooster in the house.  This doesn't apply to Third Person Imperatives as in Gen. 1:3 Let there be light.-*-,"15,46,111,129-*-","{~|c-,!L,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,(~|v-0----~|V-~|)~|}~|-*-","{~|c-,!L,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,^~|-1~|0(~|n-S,N,N,N,N,,,,,,N,C,N,^~|-1~|1Insert~|&Existential Expletive^~|there~|1)~|^~|-1~|1(~|v-c,,,,,,^~|-1~|1)~|^~|-1~|1Move4!(~|v-^~|-1~|00----~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,"4,1,1,3^4,1,2,5^4,1,2,10^4,1,2,11^4,1,6,4^4,1,8,22^4,1,12,10^4,1,13,10^4,1,14,10^4,1,18,28^4,1,18,31^4,1,18,32^4,1,24,11^4,1,26,1^4,1,26,4^4,1,26,19^4,1,28,14^4,1,32,16^4,1,34,21^4,1,37,24^4,1,38,21^4,1,38,22^4,1,41,30^4,1,41,49^|",-*-,&Existential Expletive~!~101~!~there,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
13,2,Combined clauses with similar VPs,"  If combined clauses have similar VPs, delete the auxiliary verbs in the second clause",1,  Judges 11:34  She was playing a tambourine and dancing.-*-  Judges 16:27  All of those people were watching Samson and laughing at him.-*-,"16,57-*-16,77-*-","{~|c-(~|v-0----~|&Pre-Verbal~!~was~|-4.~|V-)~|[~|c-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|v-0----~|&Pre-Verbal~!~was~|-4.~|V-)~|]~|}~|-*-{~|c-(~|v-0----~|&Pre-Verbal~!~were~|-4.~|V-)~|[~|c-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|v-0----~|&Pre-Verbal~!~were~|-4.~|V-)~|]~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|00----~|&Pre-Verbal^~|was~|0.~|V-^~|~|0)~|^~|-1~|0[~|c-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|v-^~|-1~|00----~|Pre-Verbal~!~was^~|Delete~|0.~|V-^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|00----~|&Pre-Verbal^~|were~|0.~|V-^~|~|0)~|^~|-1~|0[~|c-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|v-^~|-1~|00----~|Pre-Verbal~!~were^~|Delete~|0.~|V-^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,"4,1,18,10^4,7,11,34^4,17,8,15^4,42,2,46^4,42,8,35^4,42,18,35^3,67,52,3^|4,7,16,27^4,42,17,27^4,42,17,28^|",-*--*-,&Pre-Verbal~!~102~!~was&Pre-Verbal~!~102~!~were,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
